key,energy,liveliness,tempo,speechiness,acousticness,instrumentalness,time_signature,duration,loudness,valence,danceability,mode,time_signature_confidence,tempo_confidence,key_confidence,mode_confidence,moods,genres
7.0,0.677335,0.12116,95.93,0.321129,0.15082099999999998,0.0,1.0,4.0,242.13769,-4.311,0.558315,0.844792,0.315,0.562,0.496,1.0,"cocky,visceral",dance
7.0,0.438382,0.34446099999999996,121.338,0.039501999999999995,0.058154,0.06980499999999999,1.0,4.0,282.8,-11.765,0.143837,0.324083,0.641,0.644,0.126,0.979,rowdy,rock
1.0,0.503706,0.103116,89.759,0.284512,0.039740000000000004,1.3000000000000001e-05,1.0,4.0,197.89333,-17.233,0.652091,0.835839,0.65,0.5710000000000001,0.727,1.0,"funky,mellow",rap
4.0,0.8727349999999999,0.277321,109.976,0.037968999999999996,0.002669,0.000202,0.0,4.0,304.89333,-6.165,0.656647,0.624058,0.28300000000000003,0.23800000000000002,0.934,0.97,"visceral,trippy,spacey,rowdy",dance
3.0,0.33946000000000004,0.091913,120.018,0.057594,0.026154,0.089393,1.0,4.0,418.35093,-10.16,0.424637,0.9226200000000001,1.0,0.795,0.871,1.0,"hypnotic,visceral",dance
9.0,0.183521,0.700097,115.254,0.045556,0.859128,0.148457,1.0,4.0,294.12571,-24.07,0.216282,0.403399,0.267,0.464,0.034,0.974,soothing,jazz
6.0,0.48051299999999997,0.09214599999999999,117.15,0.218934,0.003179,0.0033369999999999997,0.0,4.0,252.53333,-12.988,0.385422,0.942715,0.787,0.65,0.921,1.0,funky,rap
7.0,0.690651,0.105309,178.108,0.35194000000000003,0.07905000000000001,0.000396,1.0,4.0,187.36,-5.116,0.628876,0.8196249999999999,0.198,0.279,0.432,1.0,funky,rap
1.0,0.641289,0.32103699999999996,114.224,0.10948799999999999,0.012612,0.147568,1.0,4.0,227.26626,-11.895,0.7662829999999999,0.8614729999999999,0.592,0.422,0.9550000000000001,1.0,"funky,energetic",dance
2.0,0.994791,0.9445279999999999,181.165,0.187571,0.001865,6e-06,1.0,4.0,190.4,-4.492,0.220995,0.202723,0.2,0.324,0.025,0.801,"energetic,angsty,rowdy",rock
7.0,0.23934000000000002,0.703831,186.622,0.04771,0.8855600000000001,0.795217,1.0,4.0,243.49333,-18.972,0.398316,0.483556,0.5700000000000001,0.552,0.0,0.984,"seductive,sad,classy,nocturnal,mellow",jazz
5.0,0.523902,0.5548569999999999,111.411,0.10396699999999999,0.078208,0.039177,1.0,4.0,189.56,-18.145,0.114038,0.316395,0.801,0.663,0.04,0.969,"trippy,lush",jazz
5.0,0.575218,0.080237,121.66,0.076433,0.549115,0.912902,0.0,4.0,436.69156,-11.865,0.945137,0.792115,0.31,0.278,0.486,1.0,classy,jazz
7.0,0.48268799999999995,0.104822,96.118,0.317704,0.15998099999999998,0.004193,1.0,4.0,200.57288,-8.794,0.26188,0.533274,0.742,0.5630000000000001,0.25,1.0,"cocky,celebratory,funky",rap
10.0,0.105279,0.09705699999999999,112.873,0.03803,0.947854,0.9275289999999999,1.0,4.0,301.11302,-15.665,0.073945,0.445025,0.386,0.41000000000000003,0.05,1.0,mellow,jazz
0.0,0.044310999999999996,0.13502899999999998,114.05,0.040271,0.987883,0.860058,1.0,4.0,262.70667,-20.61,0.109244,0.406018,0.28300000000000003,0.28800000000000003,0.015,0.761,"seductive,sad,nocturnal,mellow",jazz
5.0,0.6141800000000001,0.084433,128.005,0.199728,0.090643,0.0,1.0,4.0,221.02667,-5.465,0.773682,0.842595,0.099,0.161,0.512,1.0,rowdy,rap
0.0,0.664615,0.139092,73.514,0.056556999999999996,0.017714,0.0,1.0,4.0,228.6,-2.6029999999999998,0.807774,0.7186600000000001,0.781,0.538,0.018000000000000002,1.0,sexual,rap
2.0,0.611413,0.37647,122.704,0.050428,0.852364,0.6355259999999999,0.0,4.0,275.04127,-8.34,0.696182,0.5285259999999999,0.486,0.453,0.20400000000000001,0.842,sprightly,jazz
11.0,0.618606,0.131097,179.786,0.217947,0.017759,1e-06,0.0,4.0,217.62667,-10.174,0.8128949999999999,0.7119200000000001,0.391,0.4,0.221,1.0,mellow,rap
11.0,0.735412,0.25730000000000003,129.011,0.034886,0.011670999999999999,0.91966,0.0,4.0,313.01333,-6.837,0.404871,0.729399,0.489,0.446,0.882,0.792,"visceral,aggressive,rowdy",dance
5.0,0.8048639999999999,0.11644399999999999,128.021,0.046817,0.3844,0.21967799999999998,1.0,4.0,204.90667,-9.271,0.7034300000000001,0.541176,0.228,0.317,0.777,1.0,"funky,warm",jazz
1.0,0.969629,0.091635,94.066,0.065176,0.14974099999999999,0.121891,0.0,4.0,261.9239,-7.102,0.939751,0.61914,0.535,0.522,0.135,1.0,"energetic,visceral",dance
7.0,0.7136279999999999,0.500632,97.239,0.024716,0.28091099999999997,0.0,1.0,4.0,265.21333,-6.271,0.62644,0.611433,0.493,0.676,0.666,0.917,"energetic,angsty",rock
10.0,0.805107,0.054254,102.56,0.105768,0.139077,1.4e-05,0.0,4.0,223.73333,-5.711,0.7397659999999999,0.9379839999999999,0.259,0.20800000000000002,0.909,1.0,"introspective,funky",rap
1.0,0.9438400000000001,0.071493,173.541,0.077584,3.3e-05,0.028523,1.0,4.0,168.56,-2.697,0.737096,0.47970399999999996,0.41300000000000003,0.41300000000000003,0.626,1.0,aggressive,rock
7.0,0.041823,0.133111,70.538,0.054867,0.994995,0.959899,0.0,3.0,305.05333,-24.369,0.288887,0.362581,0.191,0.393,0.226,0.449,soothing,jazz
1.0,0.436824,0.029283999999999998,117.79,0.070604,0.001351,0.029609,0.0,4.0,240.17333,-10.234,0.963127,0.874035,0.623,0.889,0.898,1.0,"celebratory,lush",dance
7.0,0.7888959999999999,0.268356,94.236,0.37967599999999996,0.008168,0.0,1.0,4.0,223.2,-10.227,0.813265,0.8250409999999999,0.724,0.496,0.868,1.0,funky,rap
1.0,0.607534,0.32862199999999997,122.919,0.034478999999999996,0.001184,0.8243600000000001,1.0,4.0,471.57333,-12.712,0.188254,0.593434,0.655,0.49,0.8190000000000001,0.978,"funky,energetic",dance
2.0,0.954846,0.14324499999999998,79.795,0.088791,0.048024,0.000399,1.0,4.0,277.2,-4.096,0.14801,0.156599,0.649,0.579,0.03,0.773,"angsty,aggressive",rock
2.0,0.585069,0.11172699999999999,180.495,0.034252,0.12758,0.023267,1.0,3.0,234.6,-9.965,0.621981,0.22642199999999998,0.908,0.767,0.364,1.0,raw,rock
2.0,0.913416,0.1337,177.736,0.042297,0.003026,0.000363,1.0,4.0,218.49333,-7.9719999999999995,0.616942,0.32864099999999996,0.56,0.49,0.619,1.0,"energetic,angsty,rowdy",rock
4.0,0.662758,0.214863,76.797,0.288422,0.015005999999999999,0.0,0.0,4.0,331.13333,-6.704,0.530693,0.510016,0.201,0.223,0.456,0.854,cocky,rap
7.0,0.45513899999999996,0.13456,102.09,0.042700999999999996,0.140989,0.6931200000000001,1.0,4.0,318.37333,-12.436,0.8607969999999999,0.628122,0.8230000000000001,0.68,0.661,0.991,"introspective,mellow,lush",rock
9.0,0.254109,0.28469099999999997,126.901,0.33361399999999997,0.295452,0.541046,0.0,4.0,179.64363,-18.212,0.712259,0.522362,0.164,0.299,0.449,0.869,"cocky,aggressive",rap
0.0,0.06576699999999999,0.088986,73.095,0.050129,0.7455029999999999,0.003149,1.0,4.0,417.49333,-23.114,0.175164,0.441096,0.28600000000000003,0.449,0.23800000000000002,0.704,"warm,sprightly",jazz
7.0,0.108169,0.109565,137.103,0.042754,0.895787,0.305817,1.0,4.0,146.62531,-18.573,0.5374519999999999,0.6298400000000001,0.669,0.597,0.499,0.9570000000000001,sprightly,rock
0.0,0.9380419999999999,0.13002000000000002,123.052,0.050158,0.022219,0.070476,1.0,4.0,261.30667,-7.204,0.95018,0.6802600000000001,0.432,0.5710000000000001,0.851,1.0,"energetic,rowdy",rock
5.0,0.7181500000000001,0.105346,97.031,0.035220999999999995,0.52193,0.940004,1.0,4.0,148.50612,-6.649,0.360326,0.673759,0.8190000000000001,0.425,0.857,1.0,"funky,mellow",rap
0.0,0.617294,0.74809,151.283,0.034279,0.364181,0.5398109999999999,1.0,4.0,771.13288,-12.163,0.608081,0.426459,0.7010000000000001,0.5740000000000001,0.155,0.969,trippy,rock
11.0,0.797654,0.062663,142.958,0.12814599999999998,0.518358,0.829121,1.0,4.0,368.53333,-9.393,0.419214,0.457769,0.342,0.367,0.042,0.448,classy,jazz
